sex,unknown,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western
0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,27,0,0
0,0,0,0,136,136,0,0,0,0,0,0,0,136,0,0,0,0,0,0
0,0,0,0,0,0,0,59,0,59,0,0,0,0,0,0,0,59,0,0
0,0,67,67,67,0,0,0,0,0,0,0,67,0,0,0,67,0,0,0
0,0,0,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,29,0,0,0,0,0,0,0,29,0,0,0,0,0,0
0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,64,0,0
0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,234,0,0,0
0,0,133,133,0,0,133,0,0,0,0,0,0,0,0,0,0,0,133,0
0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,0,0,0,0
0,0,0,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
1,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0
1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,74,0
1,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,54,0,0,0,0,0,54,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0
1,0,0,0,0,0,0,0,0,182,0,0,0,0,0,182,0,0,0,0
0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
1,0,23,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0
1,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0
0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,30,0,30,0,0
1,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0
0,0,0,22,0,22,0,0,0,22,0,0,0,22,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,26,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,55,0,0,0,0,55,0,55,55,0,0
0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,107,0,107,0,0,0,0,107,0,0,0,0,0,107,0,0,0
0,0,0,33,0,33,0,0,0,0,0,0,0,33,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0
0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,316,316,0,0
1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
1,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0
1,0,0,307,0,307,307,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,106,0,0,0
0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0
0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0
0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,51,0
1,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,107,0,0
0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0
0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0
0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,0
0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,22,0,0,22,0,0,0,0,0,22,0,0,0,0
0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,0,0,0
0,0,27,27,0,0,0,0,0,27,0,0,0,0,0,27,27,0,27,0
1,0,43,43,0,0,43,0,0,0,0,0,0,0,0,43,0,0,0,0
1,0,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63,0
0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,63,0
0,0,435,435,0,0,0,0,0,0,0,0,0,0,0,435,435,0,435,0
0,0,0,0,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0
0,0,53,0,0,0,0,0,0,0,0,0,53,0,0,0,53,53,0,0
1,0,251,251,0,0,251,0,0,0,0,0,251,0,0,0,251,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,48,0,48,0,0
0,0,92,0,0,0,92,0,0,0,0,0,0,92,0,0,0,0,0,0
0,0,56,0,0,0,0,56,0,56,0,0,0,0,0,0,0,0,0,0
0,0,112,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,112,0
0,0,0,0,187,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,59,0
0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,0,0,0,0,0
0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0
0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,0,0
0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,118,0,0,0,0,0,118,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0
0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,0
0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0
1,0,386,386,0,0,386,0,0,0,0,0,386,0,0,0,0,0,0,0
1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42,0,0,0
1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,22,0
0,0,0,64,64,0,0,0,0,0,0,0,0,0,0,0,64,64,0,0
0,0,230,0,0,0,0,0,0,230,0,0,0,0,0,230,0,0,0,0
1,0,0,0,0,0,33,0,0,0,0,0,33,0,0,0,0,0,0,0
0,0,0,0,0,0,33,0,0,33,0,0,0,33,0,0,0,0,0,0
0,0,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,37,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,126,0,0,0,0,0,126,0,0,0,0
0,0,0,0,0,0,0,0,0,128,0,0,0,128,0,0,0,0,128,0
0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,131,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,76,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,22,0,0,0,0
0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0
1,0,387,387,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0
1,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,105,0,0
1,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
1,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
1,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
0,0,133,133,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0
0,0,21,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0
0,0,93,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,93
0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,480,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0
1,0,94,0,0,0,94,0,0,0,0,0,0,0,0,0,94,0,94,0
0,0,0,0,0,0,124,0,0,124,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0
0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,159,0,159,0,0,0,0,0,0,159,0,0,0
1,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0
0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,238,0,0,0,0,0,0,238,0,0,0,0,0,0,0,238,0,0
0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,22,0
0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,195,0,0,0,0
0,0,26,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0
0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0
0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,97,0,0,0,0
0,0,159,159,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,83,0,0,0,0,0,0,0,0,83,0,0,0,0
0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,207,0,0,0,0
1,0,57,57,0,0,57,0,0,0,0,0,0,0,0,0,57,0,0,0
0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0
1,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,24,24,0,0
1,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0
1,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0
1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,328,0,0,0,0,0,328,0,0,0,0
1,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,138,138,0,0
0,0,278,278,0,0,0,0,0,0,0,0,0,0,0,0,278,0,278,0
1,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
1,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,0,0
0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,71,0,0,0,0
0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,95,0,0,0,0
1,0,0,0,0,0,0,0,0,518,0,0,0,0,0,518,0,0,0,0
1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0
1,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,258,0,0,0,0,0,258,0,0,0,0
0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,53,0,0,0,0
0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,47,0,0,0,0
0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,288,0,0,288,0
0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,75,0,0
0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,0,0,0,0
0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,296,0,0
0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,388,0,388,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0
1,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0
0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,0,0
1,0,0,0,0,0,0,280,0,280,0,280,0,0,0,0,0,0,0,0
0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,21,0,0,0,21,0,0,21,0,0,21,0,0
1,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0
0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,0,0,0,0
0,0,0,0,0,0,0,112,0,0,0,0,112,0,112,0,0,112,0,0
0,0,0,0,0,397,0,0,0,397,397,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,294,0,294,0,0
0,0,0,0,0,0,223,223,0,223,0,0,0,0,223,0,0,0,0,0
1,0,262,0,0,0,0,0,0,262,0,0,0,0,0,262,0,0,0,0
0,0,245,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,87,0,0
0,0,0,0,0,0,75,0,0,75,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,174,0
0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,23,0,0,0,0
1,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,51,0,0
1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,142,0,0
0,0,187,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,187,0
0,0,0,0,0,0,0,284,0,284,0,0,0,0,284,0,0,0,0,0
0,0,283,0,0,0,0,0,0,0,0,0,0,0,283,283,0,283,0,0
1,0,0,0,0,0,0,65,0,65,0,0,0,0,0,0,0,65,0,0
0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0
0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0
0,0,0,0,0,0,0,183,0,183,0,0,0,0,0,0,0,183,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0
0,0,333,0,0,0,0,333,0,0,0,0,0,0,333,0,0,0,0,0
0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,130,0,0
1,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,34,0,0
0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,254,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,201,0,0,0,0,0,0,0,201,0,0,0,0,0
1,0,237,0,0,0,0,0,0,0,0,0,237,0,0,0,237,0,0,0
1,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,232,0,0,232,0,0,0,0,0,0,0,0,0,0
