full_name,birthday,gender,type,party
Michael T. McCaul,1962-01-14,M,rep,Republican
Tom McClintock,1956-07-10,M,rep,Republican
Betty McCollum,1954-07-12,F,rep,Democrat
James P. McGovern,1959-11-20,M,rep,Democrat
Patrick T. McHenry,1975-10-22,M,rep,Republican
David B. McKinley,1947-03-28,M,rep,Republican
Cathy McMorris Rodgers,1969-05-22,F,rep,Republican
Jerry McNerney,1951-06-18,M,rep,Democrat
Gregory W. Meeks,1953-09-25,M,rep,Democrat
Gwen Moore,1951-04-18,F,rep,Democrat
Jerry Moran,1954-05-29,M,sen,Republican
Lisa Murkowski,1957-05-22,F,sen,Republican
Christopher Murphy,1973-08-03,M,sen,Democrat
Patty Murray,1950-10-11,F,sen,Democrat
Jerrold Nadler,1947-06-13,M,rep,Democrat
Grace F. Napolitano,1936-12-04,F,rep,Democrat
Richard E. Neal,1949-02-14,M,rep,Democrat
Eleanor Holmes Norton,1937-06-13,F,rep,Democrat
Devin Nunes,1973-10-01,M,rep,Republican
Pete Olson,1962-12-09,M,rep,Republican
Steven M. Palazzo,1970-02-21,M,rep,Republican
"Frank Pallone, Jr.",1951-10-30,M,rep,Democrat
"Bill Pascrell, Jr.",1937-01-25,M,rep,Democrat
Rand Paul,1963-01-07,M,sen,Republican
Nancy Pelosi,1940-03-26,F,rep,Democrat
Ed Perlmutter,1953-05-01,M,rep,Democrat
Gary C. Peters,1958-12-01,M,sen,Democrat
Collin C. Peterson,1944-06-29,M,rep,Democrat
Chellie Pingree,1955-04-02,F,rep,Democrat
Rob Portman,1955-12-19,M,sen,Republican
Bill Posey,1947-12-18,M,rep,Republican
David E. Price,1940-08-17,M,rep,Democrat
Mike Quigley,1958-10-17,M,rep,Democrat
Tom Reed,1971-11-18,M,rep,Republican
Cedric L. Richmond,1973-09-13,M,rep,Democrat
Martha Roby,1976-07-27,F,rep,Republican
David P. Roe,1945-07-21,M,rep,Republican
Harold Rogers,1937-12-31,M,rep,Republican
Mike Rogers,1958-07-16,M,rep,Republican
Lucille Roybal-Allard,1941-06-12,F,rep,Democrat
Marco Rubio,1971-05-28,M,sen,Republican
C. A. Dutch Ruppersberger,1946-01-31,M,rep,Democrat
Bobby L. Rush,1946-11-23,M,rep,Democrat
Tim Ryan,1973-07-16,M,rep,Democrat
Gregorio Kilili Camacho Sablan,1955-01-19,M,rep,Democrat
John P. Sarbanes,1962-05-22,M,rep,Democrat
Steve Scalise,1965-10-06,M,rep,Republican
Janice D. Schakowsky,1944-05-26,F,rep,Democrat
Adam B. Schiff,1960-06-22,M,rep,Democrat
Kurt Schrader,1951-10-19,M,rep,Democrat
Charles E. Schumer,1950-11-23,M,sen,Democrat
David Schweikert,1962-03-03,M,rep,Republican
Austin Scott,1969-12-10,M,rep,Republican
David Scott,1945-06-27,M,rep,Democrat
"Robert C. ""Bobby"" Scott",1947-04-30,M,rep,Democrat
Tim Scott,1965-09-19,M,sen,Republican
"F. James Sensenbrenner, Jr.",1943-06-14,M,rep,Republican
José E. Serrano,1943-10-24,M,rep,Democrat
Terri A. Sewell,1965-01-01,F,rep,Democrat
Richard C. Shelby,1934-05-06,M,sen,Republican
Brad Sherman,1954-10-24,M,rep,Democrat
John Shimkus,1958-02-21,M,rep,Republican
Michael K. Simpson,1950-09-08,M,rep,Republican
Albio Sires,1951-01-26,M,rep,Democrat
Adam Smith,1965-06-15,M,rep,Democrat
Adrian Smith,1970-12-19,M,rep,Republican
Christopher H. Smith,1953-03-04,M,rep,Republican
Jackie Speier,1950-05-14,F,rep,Democrat
Steve Stivers,1965-03-24,M,rep,Republican
Linda T. Sánchez,1969-01-28,F,rep,Democrat
Bennie G. Thompson,1948-01-28,M,rep,Democrat
Mike Thompson,1951-01-24,M,rep,Democrat
Glenn Thompson,1959-07-27,M,rep,Republican
Mac Thornberry,1958-07-15,M,rep,Republican
John Thune,1961-01-07,M,sen,Republican
Scott R. Tipton,1956-11-09,M,rep,Republican
Paul Tonko,1949-06-18,M,rep,Democrat
Patrick J. Toomey,1961-11-17,M,sen,Republican
Michael R. Turner,1960-01-11,M,rep,Republican
Fred Upton,1953-04-23,M,rep,Republican
Chris Van Hollen,1959-01-10,M,sen,Democrat
Nydia M. Velázquez,1953-03-28,F,rep,Democrat
Peter J. Visclosky,1949-08-13,M,rep,Democrat
Tim Walberg,1951-04-12,M,rep,Republican
Greg Walden,1957-01-10,M,rep,Republican
Debbie Wasserman Schultz,1966-09-27,F,rep,Democrat
Maxine Waters,1938-08-15,F,rep,Democrat
Daniel Webster,1949-04-27,M,rep,Republican
Peter Welch,1947-05-02,M,rep,Democrat
Joe Wilson,1947-07-31,M,rep,Republican
Frederica S. Wilson,1942-11-05,F,rep,Democrat
Robert J. Wittman,1959-02-03,M,rep,Republican
Steve Womack,1957-02-18,M,rep,Republican
Rob Woodall,1970-02-11,M,rep,Republican
Ron Wyden,1949-05-03,M,sen,Democrat
John A. Yarmuth,1947-11-04,M,rep,Democrat
Don Young,1933-06-09,M,rep,Republican
Todd Young,1972-08-24,M,sen,Republican
Mark E. Amodei,1958-06-12,M,rep,Republican
Suzanne Bonamici,1954-10-14,F,rep,Democrat
Suzan K. DelBene,1962-02-17,F,rep,Democrat
Thomas Massie,1971-01-13,M,rep,Republican
"Donald M. Payne, Jr.",1958-12-17,M,rep,Democrat
Brian Schatz,1972-10-20,M,sen,Democrat
Bill Foster,1955-10-07,M,rep,Democrat
Dina Titus,1950-05-23,F,rep,Democrat
Tom Cotton,1977-05-13,M,sen,Republican
Kyrsten Sinema,1976-07-12,F,sen,Democrat
Doug LaMalfa,1960-07-02,M,rep,Republican
Jared Huffman,1964-02-18,M,rep,Democrat
Ami Bera,1965-03-02,M,rep,Democrat
Paul Cook,1943-03-03,M,rep,Republican
Eric Swalwell,1980-11-16,M,rep,Democrat
Julia Brownley,1952-08-28,F,rep,Democrat
Tony Cárdenas,1963-03-31,M,rep,Democrat
Raul Ruiz,1972-08-25,M,rep,Democrat
Mark Takano,1960-12-10,M,rep,Democrat
Alan S. Lowenthal,1941-03-08,M,rep,Democrat
Juan Vargas,1961-03-07,M,rep,Democrat
Scott H. Peters,1958-06-17,M,rep,Democrat
Ted S. Yoho,1955-04-13,M,rep,Republican
Lois Frankel,1948-05-16,F,rep,Democrat
Doug Collins,1966-08-16,M,rep,Republican
Tulsi Gabbard,1981-04-12,F,rep,Democrat
Tammy Duckworth,1968-03-12,F,sen,Democrat
Rodney Davis,1970-01-05,M,rep,Republican
Cheri Bustos,1961-10-17,F,rep,Democrat
Jackie Walorski,1963-08-17,F,rep,Republican
Susan W. Brooks,1960-08-25,F,rep,Republican
Andy Barr,1973-07-24,M,rep,Republican
Elizabeth Warren,1949-06-22,F,sen,Democrat
Joseph P. Kennedy III,1980-10-04,M,rep,Democrat
"Angus S. King, Jr.",1944-03-31,M,sen,Independent
Daniel T. Kildee,1958-08-11,M,rep,Democrat
Ann Wagner,1962-09-13,F,rep,Republican
Steve Daines,1962-08-20,M,sen,Republican
Richard Hudson,1971-11-04,M,rep,Republican
Mark Meadows,1959-07-28,M,rep,Republican
George Holding,1968-04-17,M,rep,Republican
Kevin Cramer,1961-01-21,M,sen,Republican
Deb Fischer,1951-03-01,F,sen,Republican
Ann M. Kuster,1956-09-05,F,rep,Democrat
Grace Meng,1975-10-01,F,rep,Democrat
Hakeem S. Jeffries,1970-08-04,M,rep,Democrat
Sean Patrick Maloney,1966-07-30,M,rep,Democrat
Brad R. Wenstrup,1958-06-17,M,rep,Republican
Joyce Beatty,1950-03-12,F,rep,Democrat
David P. Joyce,1957-03-17,M,rep,Republican
Markwayne Mullin,1977-07-26,M,rep,Republican
Scott Perry,1962-05-27,M,rep,Republican
Matt Cartwright,1961-05-01,M,rep,Democrat
Tom Rice,1957-08-04,M,rep,Republican
Ted Cruz,1970-12-22,M,sen,Republican
"Randy K. Weber, Sr.",1953-07-02,M,rep,Republican
Joaquin Castro,1974-09-16,M,rep,Democrat
Roger Williams,1949-09-13,M,rep,Republican
Marc A. Veasey,1971-01-03,M,rep,Democrat
Filemon Vela,1963-02-13,M,rep,Democrat
Chris Stewart,1960-07-15,M,rep,Republican
Tim Kaine,1958-02-26,M,sen,Democrat
Derek Kilmer,1974-01-01,M,rep,Democrat
Denny Heck,1952-07-29,M,rep,Democrat
Mark Pocan,1964-08-14,M,rep,Democrat
Robin L. Kelly,1956-04-30,F,rep,Democrat
Jason Smith,1980-06-16,M,rep,Republican
Cory A. Booker,1969-04-27,M,sen,Democrat
Katherine M. Clark,1963-07-17,F,rep,Democrat
Bradley Byrne,1955-02-16,M,rep,Republican
Donald Norcross,1958-12-13,M,rep,Democrat
Alma S. Adams,1946-05-27,F,rep,Democrat
Gary J. Palmer,1954-05-14,M,rep,Republican
J. French Hill,1956-12-05,M,rep,Republican
Bruce Westerman,1967-11-18,M,rep,Republican
Ruben Gallego,1979-11-20,M,rep,Democrat
Mark DeSaulnier,1952-03-31,M,rep,Democrat
Pete Aguilar,1979-06-19,M,rep,Democrat
Ted Lieu,1969-03-29,M,rep,Democrat
Norma J. Torres,1965-04-04,F,rep,Democrat
Ken Buck,1959-02-16,M,rep,Republican
"Earl L. ""Buddy"" Carter",1957-09-06,M,rep,Republican
Jody B. Hice,1960-04-22,M,rep,Republican
Barry Loudermilk,1963-12-22,M,rep,Republican
Rick W. Allen,1951-11-07,M,rep,Republican
Mike Bost,1960-12-30,M,rep,Republican
Ralph Lee Abraham,1954-09-16,M,rep,Republican
Garret Graves,1972-01-31,M,rep,Republican
Seth Moulton,1978-10-24,M,rep,Democrat
John R. Moolenaar,1961-05-08,M,rep,Republican
Debbie Dingell,1953-11-23,F,rep,Democrat
Brenda L. Lawrence,1954-10-18,F,rep,Democrat
Tom Emmer,1961-03-03,M,rep,Republican
David Rouzer,1972-02-16,M,rep,Republican
Bonnie Watson Coleman,1945-02-06,F,rep,Democrat
Lee M. Zeldin,1980-01-30,M,rep,Republican
Kathleen M. Rice,1965-02-15,F,rep,Democrat
Elise M. Stefanik,1984-07-02,F,rep,Republican
John Katko,1962-11-09,M,rep,Republican
Brendan F. Boyle,1977-02-06,M,rep,Democrat
John Ratcliffe,1965-10-20,M,rep,Republican
Will Hurd,1977-08-19,M,rep,Republican
Brian Babin,1948-03-23,M,rep,Republican
"Donald S. Beyer, Jr.",1950-06-20,M,rep,Democrat
Stacey E. Plaskett,1966-05-13,F,rep,Democrat
Dan Newhouse,1955-07-10,M,rep,Republican
Glenn Grothman,1955-07-03,M,rep,Republican
Alexander X. Mooney,1971-06-05,M,rep,Republican
Aumua Amata Coleman Radewagen,1947-12-29,F,rep,Republican
Dan Sullivan,1964-11-13,M,sen,Republican
David Perdue,1949-12-10,M,sen,Republican
Joni Ernst,1970-07-01,F,sen,Republican
Thom Tillis,1960-08-30,M,sen,Republican
Mike Rounds,1954-10-24,M,sen,Republican
Mark Walker,1969-05-20,M,rep,Republican
Ben Sasse,1972-02-22,M,sen,Republican
Trent Kelly,1966-03-01,M,rep,Republican
Darin LaHood,1968-07-05,M,rep,Republican
Warren Davidson,1970-03-01,M,rep,Republican
James Comer,1972-08-19,M,rep,Republican
Dwight Evans,1954-05-16,M,rep,Democrat
Kamala D. Harris,1964-10-20,F,sen,Democrat
John Kennedy,1951-11-21,M,sen,Republican
Margaret Wood Hassan,1958-02-27,F,sen,Democrat
Catherine Cortez Masto,1964-03-29,F,sen,Democrat
Bradley Scott Schneider,1961-08-20,M,rep,Democrat
Tom O’Halleran,1946-01-24,M,rep,Democrat
Andy Biggs,1958-11-07,M,rep,Republican
Ro Khanna,1976-09-13,M,rep,Democrat
Jimmy Panetta,1969-10-01,M,rep,Democrat
Salud O. Carbajal,1964-11-18,M,rep,Democrat
Nanette Diaz Barragán,1976-09-15,F,rep,Democrat
J. Luis Correa,1958-01-24,M,rep,Democrat
Lisa Blunt Rochester,1962-02-10,F,rep,Democrat
Matt Gaetz,1982-05-07,M,rep,Republican
Neal P. Dunn,1953-02-16,M,rep,Republican
John H. Rutherford,1952-09-02,M,rep,Republican
"Al Lawson, Jr.",1948-09-23,M,rep,Democrat
Stephanie N. Murphy,1978-09-16,F,rep,Democrat
Darren Soto,1978-02-25,M,rep,Democrat
Val Butler Demings,1957-03-12,F,rep,Democrat
Charlie Crist,1956-07-24,M,rep,Democrat
Brian J. Mast,1980-07-10,M,rep,Republican
Francis Rooney,1953-12-04,M,rep,Republican
A. Drew Ferguson IV,1966-11-15,M,rep,Republican
Raja Krishnamoorthi,1973-07-19,M,rep,Democrat
Jim Banks,1979-07-16,M,rep,Republican
Trey Hollingsworth,1983-09-12,M,rep,Republican
Roger W. Marshall,1960-08-09,M,rep,Republican
Clay Higgins,1961-08-24,M,rep,Republican
Mike Johnson,1972-01-30,M,rep,Republican
Anthony G. Brown,1961-11-21,M,rep,Democrat
Jamie Raskin,1962-12-13,M,rep,Democrat
Jack Bergman,1947-02-02,M,rep,Republican
Paul Mitchell,1961-05-08,M,rep,Republican
Ted Budd,1971-10-21,M,rep,Republican
Don Bacon,1963-08-16,M,rep,Republican
Josh Gottheimer,1975-03-08,M,rep,Democrat
Jacky Rosen,1957-08-02,F,sen,Democrat
Thomas R. Suozzi,1962-08-31,M,rep,Democrat
Adriano Espaillat,1954-09-27,M,rep,Democrat
Brian K. Fitzpatrick,1973-12-17,M,rep,Republican
Lloyd Smucker,1964-01-23,M,rep,Republican
Jenniffer González-Colón,1976-08-05,F,rep,Republican
David Kustoff,1966-10-08,M,rep,Republican
Vicente Gonzalez,1967-09-04,M,rep,Democrat
Jodey C. Arrington,1972-03-09,M,rep,Republican
A. Donald McEachin,1961-10-10,M,rep,Democrat
Pramila Jayapal,1965-09-21,F,rep,Democrat
Mike Gallagher,1984-03-03,M,rep,Republican
Liz Cheney,1966-07-28,F,rep,Republican
Ron Estes,1956-07-19,M,rep,Republican
Greg Gianforte,1961-04-17,M,rep,Republican
Ralph Norman,1953-06-20,M,rep,Republican
Jimmy Gomez,1974-11-25,M,rep,Democrat
John R. Curtis,1960-05-10,M,rep,Republican
Doug Jones,1954-05-04,M,sen,Democrat
Tina Smith,1958-03-04,F,sen,Democrat
Cindy Hyde-Smith,1959-05-10,F,sen,Republican
Conor Lamb,1984-06-27,M,rep,Democrat
Debbie Lesko,1958-11-14,F,rep,Republican
Michael Cloud,1975-05-13,M,rep,Republican
Troy Balderson,1962-01-16,M,rep,Republican
Kevin Hern,1961-12-04,M,rep,Republican
Joseph D. Morelle,1957-04-29,M,rep,Democrat
Mary Gay Scanlon,1959-08-30,F,rep,Democrat
Susan Wild,1957-06-07,F,rep,Democrat
Ed Case,1952-09-27,M,rep,Democrat
Steven Horsford,1973-04-29,M,rep,Democrat
Ann Kirkpatrick,1950-03-24,F,rep,Democrat
Greg Stanton,1970-03-08,M,rep,Democrat
Josh Harder,1986-08-01,M,rep,Democrat
TJ Cox,1963-07-18,M,rep,Democrat
"Gilbert Ray Cisneros, Jr.",1971-02-12,M,rep,Democrat
Katie Porter,1974-01-03,F,rep,Democrat
Harley Rouda,1961-12-10,M,rep,Democrat
Mike Levin,1978-10-28,M,rep,Democrat
Joe Neguse,1984-05-13,M,rep,Democrat
Jason Crow,1979-03-15,M,rep,Democrat
Jahana Hayes,1973-03-08,F,rep,Democrat
Michael Waltz,1974-01-31,M,rep,Republican
Ross Spano,1966-07-16,M,rep,Republican
W. Gregory Steube,1978-05-19,M,rep,Republican
Debbie Mucarsel-Powell,1971-01-18,F,rep,Democrat
Donna E. Shalala,1941-02-14,F,rep,Democrat
Lucy McBath,1960-06-01,F,rep,Democrat
Michael F. Q. San Nicolas,1981-01-30,M,rep,Democrat
Abby Finkenauer,1988-12-27,F,rep,Democrat
Cynthia Axne,1965-04-20,F,rep,Democrat
Russ Fulcher,1973-07-19,M,rep,Republican
"Jesús G. ""Chuy"" García",1956-04-12,M,rep,Democrat
Sean Casten,1971-11-23,M,rep,Democrat
Lauren Underwood,1986-10-04,F,rep,Democrat
James R. Baird,1945-06-04,M,rep,Republican
Greg Pence,1956-11-14,M,rep,Republican
Steve Watkins,1976-09-18,M,rep,Republican
Sharice Davids,1980-05-22,F,rep,Democrat
Lori Trahan,1973-10-27,F,rep,Democrat
Ayanna Pressley,1974-02-03,F,rep,Democrat
David J. Trone,1955-09-21,M,rep,Democrat
Elissa Slotkin,1976-07-10,F,rep,Democrat
Andy Levin,1960-08-01,M,rep,Democrat
Haley M. Stevens,1983-06-24,F,rep,Democrat
Rashida Tlaib,1976-07-24,F,rep,Democrat
Jim Hagedorn,1962-08-04,M,rep,Republican
Angie Craig,1972-02-14,F,rep,Democrat
Dean Phillips,1969-01-20,M,rep,Democrat
Ilhan Omar,1981-10-04,F,rep,Democrat
Pete Stauber,1966-05-10,M,rep,Republican
Michael Guest,1970-02-04,M,rep,Republican
Kelly Armstrong,1976-10-08,M,rep,Republican
Chris Pappas,1980-06-04,M,rep,Democrat
Jefferson Van Drew,1953-02-23,M,rep,Republican
Andy Kim,1982-07-12,M,rep,Democrat
Tom Malinowski,1965-09-23,M,rep,Democrat
Mikie Sherrill,1972-01-19,F,rep,Democrat
Debra A. Haaland,1960-12-02,F,rep,Democrat
Xochitl Torres Small,1984-11-15,F,rep,Democrat
Susie Lee,1966-11-07,F,rep,Democrat
Max Rose,1986-11-28,M,rep,Democrat
Alexandria Ocasio-Cortez,1989-10-13,F,rep,Democrat
Antonio Delgado,1977-01-19,M,rep,Democrat
Anthony Brindisi,1978-11-22,M,rep,Democrat
Anthony Gonzalez,1984-09-19,M,rep,Republican
Kendra S. Horn,1976-06-09,F,rep,Democrat
Madeleine Dean,1959-06-06,F,rep,Democrat
Chrissy Houlahan,1967-06-05,F,rep,Democrat
Daniel Meuser,1964-02-10,M,rep,Republican
John Joyce,1957-02-08,M,rep,Republican
Guy Reschenthaler,1983-04-17,M,rep,Republican
Joe Cunningham,1982-05-26,M,rep,Democrat
William R. Timmons IV,1984-04-30,M,rep,Republican
Dusty Johnson,1976-09-30,M,rep,Republican
Tim Burchett,1964-08-25,M,rep,Republican
John W. Rose,1965-02-23,M,rep,Republican
Mark E. Green,1964-11-08,M,rep,Republican
Dan Crenshaw,1984-03-14,M,rep,Republican
Van Taylor,1972-08-01,M,rep,Republican
Lance Gooden,1982-12-01,M,rep,Republican
Ron Wright,1953-04-08,M,rep,Republican
Lizzie Fletcher,1975-02-13,F,rep,Democrat
Veronica Escobar,1969-09-15,F,rep,Democrat
Chip Roy,1972-08-07,M,rep,Republican
Sylvia R. Garcia,1950-09-06,F,rep,Democrat
Colin Z. Allred,1983-04-15,M,rep,Democrat
Ben McAdams,1974-12-05,M,rep,Democrat
Elaine G. Luria,1975-08-15,F,rep,Democrat
Denver Riggleman,1970-03-01,M,rep,Republican
Ben Cline,1972-02-29,M,rep,Republican
Abigail Davis Spanberger,1979-08-07,F,rep,Democrat
Jennifer Wexton,1968-05-27,F,rep,Democrat
Kim Schrier,1968-08-23,F,rep,Democrat
Bryan Steil,1981-03-30,M,rep,Republican
Carol D. Miller,1950-11-04,F,rep,Republican
Rick Scott,1952-12-01,M,sen,Republican
Mike Braun,1954-03-24,M,sen,Republican
Josh Hawley,1979-12-31,M,sen,Republican
Mitt Romney,1947-03-12,M,sen,Republican
Martha McSally,1966-03-22,F,sen,Republican
Jared F. Golden,1982-07-25,M,rep,Democrat
Fred Keller,1965-10-23,M,rep,Republican
Dan Bishop,1964-07-01,M,rep,Republican
Gregory F. Murphy,1963-03-05,M,rep,Republican
Kelly Loeffler,1970-11-27,F,sen,Republican
